trial_index subject_id group condition task item_type category image_id distinct_rating distinct_type good_subj
33 1006 1 0 0 0 3 35 3.14 0 1
34 1006 1 0 0 0 24 373 7.32 1 1
35 1006 1 0 0 0 9 136 3.1 0 1
36 1006 1 0 0 0 6 85 7.32 1 1
37 1006 1 0 0 0 15 228 3.15 0 1
38 1006 1 0 0 0 4 56 3.02 0 1
39 1006 1 0 0 0 4 64 2.52 0 1
40 1006 1 0 0 0 27 420 7.61 1 1
41 1006 1 0 0 0 10 155 1.73 0 1
42 1006 1 0 0 0 3 37 3.08 0 1
43 1006 1 0 0 0 15 240 2.57 0 1
44 1006 1 0 0 0 20 315 2.75 0 1
45 1006 1 0 0 0 3 36 2.98 0 1
46 1006 1 0 0 0 22 347 6.7 1 1
47 1006 1 0 0 0 20 307 1.87 0 1
48 1006 1 0 0 0 29 451 1.86 0 1
49 1006 1 0 0 0 18 285 2.27 0 1
50 1006 1 0 0 0 10 160 2.19 0 1
1 1012 2 0 0 0 25 385 1.43 0 0
2 1012 2 0 0 0 10 152 1.38 0 0
3 1012 2 0 0 0 4 60 2.6 0 0
4 1012 2 0 0 0 17 258 2.89 0 0
5 1012 2 0 0 0 20 314 1.94 0 0
6 1012 2 0 0 0 9 142 3.22 0 0
7 1012 2 0 0 0 28 447 7.79 1 0
8 1012 2 0 0 0 17 269 2.8 0 0
9 1012 2 0 0 0 4 62 2.95 0 0
10 1012 2 0 0 0 20 308 2.2 0 0
11 1012 2 0 0 0 30 467 1.95 0 0
12 1012 2 0 0 0 10 149 3.02 0 0
13 1012 2 0 0 0 13 202 3.09 0 0
14 1012 2 0 0 0 1 9 2.49 0 0
15 1012 2 0 0 0 9 141 3.12 0 0
16 1012 2 0 0 0 15 226 3.2 0 0
17 1012 2 0 0 0 20 318 2.58 0 0
18 1012 2 0 0 0 1 4 3.18 0 0
19 1012 2 0 0 0 18 287 2.19 0 0
20 1012 2 0 0 0 2 26 2.76 0 0
21 1012 2 0 0 0 3 33 2.97 0 0
22 1012 2 0 0 0 29 459 1.82 0 0
23 1012 2 0 0 0 23 365 6.57 1 0
24 1012 2 0 0 0 8 125 7.28 1 0
25 1012 2 0 0 0 28 445 7.58 1 0
26 1012 2 0 0 0 10 154 2.88 0 0
27 1012 2 0 0 0 2 29 2.68 0 0
28 1012 2 0 0 0 15 238 3.31 0 0
29 1012 2 0 0 0 6 86 8.01 1 0
30 1012 2 0 0 0 17 261 2.14 0 0
31 1012 2 0 0 0 29 456 1.5 0 0
32 1012 2 0 0 0 7 99 7.24 1 0
33 1012 2 0 0 0 3 42 2.84 0 0
34 1012 2 0 0 0 15 227 2.67 0 0
35 1012 2 0 0 0 18 284 1.92 0 0
36 1012 2 0 0 0 1 3 3.17 0 0
37 1012 2 0 0 0 18 279 1.97 0 0
38 1012 2 0 0 0 24 382 6.86 1 0
