trial_index,subject_id,group,task,item_type,category_name,category,broad_category,image_png,image_id,distinct_rating,good_subj
244,87372,Group1,memory_phase,,Phyllite,17,M,M_Phyllite_10.png,266,2.6,True
246,87372,Group1,memory_phase,,Rhyolite,10,I,I_Rhyolite_13.png,157,4.83,True
6,86281,Group1,memory_phase,,Rock Gypsum,27,S,S_Rock Gypsum_04.png,420,7.61,True
8,86281,Group1,memory_phase,,Gabbro,4,I,I_Gabbro_12.png,60,2.6,True
10,86281,Group1,memory_phase,,Gabbro,4,I,I_Gabbro_04.png,52,4.1,True
12,86281,Group1,memory_phase,,Pegmatite,7,I,I_Pegmatite_12.png,108,5.15,True
14,86281,Group1,memory_phase,,Conglomerate,24,S,S_Conglomerate_07.png,375,6.97,True
16,86281,Group1,memory_phase,,Rhyolite,10,I,I_Rhyolite_12.png,156,3.68,True
18,86281,Group1,memory_phase,,Gabbro,4,I,I_Gabbro_10.png,58,3.11,True
20,86281,Group1,memory_phase,,Sandstone,29,S,S_Sandstone_09.png,457,3.66,True
22,86281,Group1,memory_phase,,Basalt,2,I,I_Basalt_03.png,19,2.94,True
24,86281,Group1,memory_phase,,Amphibolite,11,M,M_Amphibolite_14.png,174,3.65,True
26,86281,Group1,memory_phase,,Sandstone,29,S,S_Sandstone_03.png,451,1.86,True
28,86281,Group1,memory_phase,,Shale,30,S,S_Shale_01.png,465,2.7,True
30,86281,Group1,memory_phase,,Peridotite,8,I,I_Peridotite_04.png,116,6.39,True
32,86281,Group1,memory_phase,,Anthracite,12,M,M_Anthracite_13.png,189,4.81,True
34,86281,Group1,memory_phase,,Schist,19,M,M_Schist_12.png,300,4.27,True
36,86281,Group1,memory_phase,,Shale,30,S,S_Shale_11.png,475,4.05,True
38,86281,Group1,memory_phase,,Peridotite,8,I,I_Peridotite_11.png,123,3.59,True
40,86281,Group1,memory_phase,,Rock Salt,28,S,S_Rock Salt_11.png,443,4.9,True
42,86281,Group1,memory_phase,,Rock Salt,28,S,S_Rock Salt_15.png,447,7.79,True
44,86281,Group1,memory_phase,,Conglomerate,24,S,S_Conglomerate_16.png,384,6.38,True
46,86281,Group1,memory_phase,,Obsidian,6,I,I_Obsidian_04.png,84,5.67,True
48,86281,Group1,memory_phase,,Rock Gypsum,27,S,S_Rock Gypsum_13.png,429,4.94,True
50,86281,Group1,memory_phase,,Schist,19,M,M_Schist_05.png,293,3.66,True
52,86281,Group1,memory_phase,,Breccia,22,S,S_Breccia_12.png,348,5.03,True
54,86281,Group1,memory_phase,,Diorite,3,I,I_Diorite_08.png,40,4.94,True
56,86281,Group1,memory_phase,,Obsidian,6,I,I_Obsidian_05.png,85,7.32,True
58,86281,Group1,memory_phase,,Dolomite,25,S,S_Dolomite_11.png,395,5.56,True
60,86281,Group1,memory_phase,,Quartzite,18,M,M_Quartzite_08.png,280,2.15,True
62,86281,Group1,memory_phase,,Peridotite,8,I,I_Peridotite_10.png,122,4.64,True
64,86281,Group1,memory_phase,,Diorite,3,I,I_Diorite_15.png,47,3.05,True
66,86281,Group1,memory_phase,,Schist,19,M,M_Schist_13.png,301,3.37,True
68,86281,Group1,memory_phase,,Anthracite,12,M,M_Anthracite_15.png,191,4.62,True
70,86281,Group1,memory_phase,,Chert,23,S,S_Chert_09.png,361,4.92,True
72,86281,Group1,memory_phase,,Phyllite,17,M,M_Phyllite_12.png,268,3.83,True
74,86281,Group1,memory_phase,,Phyllite,17,M,M_Phyllite_06.png,262,3.03,True
76,86281,Group1,memory_phase,,Andesite,1,I,I_Andesite_11.png,11,3.35,True
78,86281,Group1,memory_phase,,Migmatite,16,M,M_Migmatite_04.png,244,5.07,True
80,86281,Group1,memory_phase,,Micrite,26,S,S_Micrite_03.png,403,4.0,True
82,86281,Group1,memory_phase,,Sandstone,29,S,S_Sandstone_02.png,450,2.09,True
84,86281,Group1,memory_phase,,Granite,5,I,I_Granite_10.png,74,4.34,True
86,86281,Group1,memory_phase,,Pumice,9,I,I_Pumice_15.png,143,4.18,True
88,86281,Group1,memory_phase,,Anthracite,12,M,M_Anthracite_07.png,183,4.27,True
90,86281,Group1,memory_phase,,Gneiss,13,M,M_Gneiss_03.png,195,3.63,True
92,86281,Group1,memory_phase,,Marble,15,M,M_Marble_15.png,239,6.35,True
94,86281,Group1,memory_phase,,Dolomite,25,S,S_Dolomite_09.png,393,2.11,True
96,86281,Group1,memory_phase,,Pumice,9,I,I_Pumice_03.png,131,3.41,True
98,86281,Group1,memory_phase,,Marble,15,M,M_Marble_01.png,225,4.1,True
100,86281,Group1,memory_phase,,Breccia,22,S,S_Breccia_15.png,351,5.43,True
103,86281,Group1,memory_phase,,Rock Salt,28,S,S_Rock Salt_12.png,444,5.86,True
105,86281,Group1,memory_phase,,Diorite,3,I,I_Diorite_13.png,45,4.58,True
107,86281,Group1,memory_phase,,Shale,30,S,S_Shale_10.png,474,1.91,True
109,86281,Group1,memory_phase,,Basalt,2,I,I_Basalt_15.png,31,4.03,True
111,86281,Group1,memory_phase,,Breccia,22,S,S_Breccia_07.png,343,6.19,True
113,86281,Group1,memory_phase,,Rhyolite,10,I,I_Rhyolite_13.png,157,4.83,True
115,86281,Group1,memory_phase,,Conglomerate,24,S,S_Conglomerate_03.png,371,4.73,True
117,86281,Group1,memory_phase,,Pumice,9,I,I_Pumice_09.png,137,5.5,True
119,86281,Group1,memory_phase,,Hornfels,14,M,M_Hornfels_05.png,213,3.12,True
121,86281,Group1,memory_phase,,Quartzite,18,M,M_Quartzite_04.png,276,3.06,True
123,86281,Group1,memory_phase,,Anthracite,12,M,M_Anthracite_12.png,188,5.69,True
125,86281,Group1,memory_phase,,Gneiss,13,M,M_Gneiss_01.png,193,4.54,True
127,86281,Group1,memory_phase,,Gneiss,13,M,M_Gneiss_15.png,207,3.11,True
129,86281,Group1,memory_phase,,Amphibolite,11,M,M_Amphibolite_04.png,164,2.89,True
