image_id condition group n_subj n_yes item_type distinct_rating distinct_type prop_yes resp_type HS_preds
373 1 2 56 8 0 7.32 1 0.1491228070175438 0 0.1746908213633972
382 0 1 65 8 0 6.86 1 0.1287878787878787 0 0.0799754661151541
382 0 2 61 35 1 6.86 1 0.5725806451612904 1 0.7044605325869567
382 1 1 50 2 0 6.86 1 0.0490196078431372 0 0.0799754661151541
382 1 2 56 41 1 6.86 1 0.7280701754385965 1 0.7044605325869567
385 0 1 65 29 0 1.43 0 0.4469696969696969 0 0.5341972487945259
385 0 2 61 38 1 1.43 0 0.6209677419354839 1 0.6859069274928487
385 1 1 50 20 0 1.43 0 0.4019607843137255 0 0.5341972487945259
385 1 2 56 36 1 1.43 0 0.6403508771929824 1 0.6859069274928487
391 0 1 65 40 0 1.73 0 0.6136363636363636 0 0.6589093119908377
391 0 2 61 41 1 1.73 0 0.6693548387096774 1 0.7218833290262334
391 1 1 50 32 0 1.73 0 0.6372549019607843 0 0.6589093119908377
391 1 2 56 39 1 1.73 0 0.6929824561403509 1 0.7218833290262334
396 0 1 65 45 1 1.85 0 0.6893939393939394 1 0.7251122288602815
396 0 2 61 31 0 1.85 0 0.5080645161290323 0 0.6540235814420908
396 1 1 50 37 1 1.85 0 0.7352941176470589 1 0.7251122288602815
396 1 2 56 35 0 1.85 0 0.6228070175438597 0 0.6540235814420908
397 0 1 65 45 1 1.77 0 0.6893939393939394 1 0.7073116764680866
397 0 2 61 38 0 1.77 0 0.6209677419354839 0 0.5622222835306404
397 1 1 50 39 1 1.77 0 0.7745098039215687 1 0.7073116764680866
397 1 2 56 34 0 1.77 0 0.6052631578947368 0 0.5622222835306404
398 0 1 65 41 1 1.43 0 0.6287878787878788 1 0.6579866459416636
398 0 2 61 44 0 1.43 0 0.717741935483871 0 0.6194738121813984
398 1 1 50 36 1 1.43 0 0.7156862745098039 1 0.6579866459416636
398 1 2 56 39 0 1.43 0 0.6929824561403509 0 0.6194738121813984
400 0 1 65 29 0 1.71 0 0.4469696969696969 0 0.5525133848590931
400 0 2 61 28 1 1.71 0 0.4596774193548387 1 0.6938535118347514
400 1 1 50 14 0 1.71 0 0.284313725490196 0 0.5525133848590931
400 1 2 56 33 1 1.71 0 0.5877192982456141 1 0.6938535118347514
420 0 1 65 39 1 7.61 1 0.5984848484848485 1 0.7829195782688014
420 0 2 61 11 0 7.61 1 0.1854838709677419 0 0.2499607519929322
420 1 1 50 38 1 7.61 1 0.7549019607843137 1 0.7829195782688014
420 1 2 56 14 0 7.61 1 0.2543859649122807 0 0.2499607519929322
433 0 1 65 49 1 7.18 1 0.75 1 0.765479796250807
433 0 2 61 13 0 7.18 1 0.2177419354838709 0 0.2225237488552697
433 1 1 50 41 1 7.18 1 0.8137254901960784 1 0.765479796250807
433 1 2 56 12 0 7.18 1 0.219298245614035 0 0.2225237488552697
445 0 1 65 0 0 7.58 1 0.0075757575757575 0 0.1300888921263603
445 0 2 61 43 1 7.58 1 0.7016129032258065 1 0.7331408254625068
445 1 1 50 1 0 7.58 1 0.0294117647058823 0 0.1300888921263603
445 1 2 56 49 1 7.58 1 0.868421052631579 1 0.7331408254625068
447 0 1 65 13 0 7.79 1 0.2045454545454545 0 0.1608137823437041
447 0 2 61 47 1 7.79 1 0.7661290322580645 1 0.7394492632647418
