trial_index subject_id group condition task item_type category image_id distinct_rating distinct_type good_subj
21 30 1 0 0 0 25 396 1.85 0 1
22 30 1 0 0 0 4 59 1.99 0 1
23 30 1 0 0 0 7 112 7.03 1 1
24 30 1 0 0 0 25 398 1.43 0 1
25 30 1 0 0 0 15 228 3.15 0 1
26 30 1 0 0 0 25 397 1.77 0 1
27 30 1 0 0 0 23 362 7.17 1 1
28 30 1 0 0 0 18 285 2.27 0 1
29 30 1 0 0 0 2 25 1.89 0 1
30 30 1 0 0 0 17 259 2.5 0 1
31 30 1 0 0 0 30 472 2.55 0 1
32 30 1 0 0 0 3 35 3.14 0 1
33 30 1 0 0 0 17 266 2.6 0 1
34 30 1 0 0 0 17 263 2.59 0 1
35 30 1 0 0 0 1 10 3.15 0 1
36 30 1 0 0 0 4 56 3.02 0 1
37 30 1 0 0 0 22 347 6.7 1 1
38 30 1 0 0 0 2 18 1.84 0 1
39 30 1 0 0 0 24 373 7.32 1 1
40 30 1 0 0 0 29 451 1.86 0 1
41 30 1 0 0 0 3 36 2.98 0 1
42 30 1 0 0 0 18 280 2.15 0 1
43 30 1 0 0 0 3 37 3.08 0 1
44 30 1 0 0 0 30 476 2.48 0 1
45 30 1 0 0 0 1 8 1.95 0 1
46 30 1 0 0 0 27 420 7.61 1 1
47 30 1 0 0 0 9 136 3.1 0 1
48 30 1 0 0 0 10 155 1.73 0 1
49 30 1 0 0 0 10 160 2.19 0 1
50 30 1 0 0 0 2 17 1.92 0 1
1 291 1 0 0 0 23 362 7.17 1 1
2 291 1 0 0 0 1 6 3.17 0 1
3 291 1 0 0 0 2 18 1.84 0 1
4 291 1 0 0 0 6 85 7.32 1 1
5 291 1 0 0 0 10 158 2.59 0 1
6 291 1 0 0 0 22 347 6.7 1 1
7 291 1 0 0 0 15 240 2.57 0 1
8 291 1 0 0 0 10 155 1.73 0 1
9 291 1 0 0 0 28 433 7.18 1 1
10 291 1 0 0 0 25 398 1.43 0 1
11 291 1 0 0 0 4 59 1.99 0 1
12 291 1 0 0 0 7 106 7.66 1 1
13 291 1 0 0 0 27 420 7.61 1 1
14 291 1 0 0 0 25 397 1.77 0 1
